,state_cat,account_length,area_code_cat,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,churn,churn_predict,churn_proba
1,11,101,2,0,0,0,70.9,123,12.05,211.9,73,18.01,236.0,73,10.62,10.6,3,2.86,3,0,0,0.34610007316843483
2,26,137,2,0,0,0,223.6,86,38.01,244.8,139,20.81,94.2,81,4.24,9.5,7,2.57,0,0,0,0.31333234752096073
3,35,103,0,0,1,29,294.7,95,50.1,237.3,105,20.17,300.3,127,13.51,13.7,6,3.7,1,0,0,0.4917614920308622
4,32,99,1,0,0,0,216.8,123,36.86,126.4,88,10.74,220.6,82,9.93,15.7,2,4.24,1,0,0,0.45692269840136657
5,40,108,1,0,0,0,197.4,78,33.56,124.0,101,10.54,204.5,107,9.2,7.7,4,2.08,2,0,1,0.5691604672166618
6,12,117,1,0,0,0,226.5,85,38.51,141.6,68,12.04,223.0,90,10.04,6.9,5,1.86,1,0,0,0.48774346130815116
7,28,63,1,0,1,32,218.9,124,37.21,214.3,125,18.22,260.3,120,11.71,12.9,3,3.48,1,0,0,0.26901735436094915
8,18,94,0,0,0,0,157.5,97,26.78,224.5,112,19.08,310.8,106,13.99,11.1,6,3.0,0,0,0,0.16416745481997833
9,24,138,2,0,0,0,89.1,117,15.15,126.8,46,10.78,190.5,71,8.57,9.9,4,2.67,2,0,0,0.24923550118218282
10,43,128,1,0,1,43,177.8,100,30.23,147.3,89,12.52,194.2,92,8.74,11.9,1,3.21,0,0,0,0.09776414761333978
11,2,113,2,0,1,39,209.8,77,35.67,164.1,90,13.95,159.7,100,7.19,9.0,4,2.43,1,0,0,0.24681651655247064
12,43,140,1,0,0,0,93.2,109,15.84,197.6,116,16.8,219.8,94,9.89,10.5,2,2.84,1,0,0,0.14817656837265317
13,21,102,1,0,0,0,228.1,86,38.78,156.0,97,13.26,227.9,124,10.26,10.6,9,2.86,1,0,0,0.4928425857788841
14,28,108,1,0,0,0,112.6,86,19.14,114.9,101,9.77,177.8,119,8.0,7.2,6,1.94,3,0,0,0.4739143092362808
15,8,60,0,0,0,0,207.3,77,35.24,207.9,105,17.67,108.2,89,4.87,12.9,5,3.48,1,0,0,0.4270521989693768
16,23,96,0,0,0,0,208.1,93,35.38,189.2,107,16.08,279.6,90,12.58,7.4,2,2.0,1,0,0,0.4295502924207651
17,16,178,1,0,1,22,112.8,66,19.18,232.6,100,19.77,194.8,119,8.77,14.3,3,3.86,1,0,0,0.08685312142950488
18,23,75,1,0,0,0,225.3,124,38.3,228.0,81,19.38,254.3,106,11.44,11.7,3,3.16,1,0,0,0.4839207333033038
19,27,106,1,0,1,25,169.4,105,28.8,240.5,108,20.44,159.4,114,7.17,13.9,5,3.75,4,0,1,0.6141587313775514
20,11,158,2,0,0,0,193.3,121,32.86,208.1,97,17.69,228.1,99,10.26,7.1,9,1.92,1,0,0,0.3840420702428569
21,33,111,1,0,1,35,161.2,142,27.4,159.1,104,13.52,167.9,98,7.56,14.7,5,3.97,1,0,0,0.1498922688666395
22,5,102,2,0,0,0,95.6,88,16.25,167.6,106,14.25,177.3,95,7.98,9.8,2,2.65,3,0,0,0.42037504956183736
23,42,92,2,0,1,25,79.8,99,13.57,313.6,120,26.66,135.5,104,6.1,9.3,8,2.51,2,0,0,0.11155536986402706
24,8,42,1,0,1,31,170.8,101,29.04,233.4,104,19.84,174.2,121,7.84,11.0,3,2.97,2,0,0,0.2860894837609185
25,35,69,1,0,0,0,229.2,111,38.96,165.3,104,14.05,235.1,80,10.58,5.2,5,1.4,1,0,0,0.4963491620249863
26,37,117,1,0,1,38,259.3,94,44.08,245.6,71,20.88,269.3,125,12.12,9.2,1,2.48,3,0,1,0.7135585938407201
27,29,76,1,0,1,41,212.6,110,36.14,172.7,97,14.68,186.3,78,8.38,10.1,5,2.73,0,0,0,0.14448559789851828
28,13,72,1,1,0,0,101.0,110,17.17,240.0,70,20.4,333.5,105,15.01,11.1,6,3.0,0,0,0,0.4908491554042182
29,50,115,1,1,1,6,140.1,125,23.82,157.9,100,13.42,249.4,96,11.22,10.1,3,2.73,1,0,1,0.5761367531794478
30,20,68,0,0,0,0,150.4,106,25.57,199.0,131,16.92,109.7,103,4.94,12.3,3,3.32,3,0,1,0.5932978733424011
31,50,60,2,1,1,37,189.9,125,32.28,110.4,107,9.38,210.7,115,9.48,9.1,5,2.46,3,0,1,0.9120682766001617
32,3,97,1,0,0,0,100.8,74,17.14,233.8,88,19.87,208.7,79,9.39,12.6,3,3.4,2,0,0,0.27818412730424497
33,12,92,1,0,0,0,138.1,131,23.48,175.7,128,14.93,192.7,119,8.67,10.0,3,2.7,3,0,1,0.554966202697998
34,46,178,2,0,0,0,179.7,112,30.55,276.6,91,23.51,169.7,101,7.64,10.1,7,2.73,3,0,1,0.679455469291517
35,16,90,1,0,1,30,191.3,104,32.52,257.1,109,21.85,177.7,89,8.0,11.0,1,2.97,1,0,0,0.20561068980527833
36,25,72,2,0,0,0,168.3,76,28.61,212.4,126,18.05,200.2,132,9.01,12.0,3,3.24,2,0,0,0.4768471463809126
37,4,73,1,0,0,0,137.6,113,23.39,179.7,75,15.27,172.8,71,7.78,10.7,2,2.89,1,1,0,0.23455746500679855
38,35,54,1,0,0,0,255.4,122,43.42,22.3,87,1.9,152.6,72,6.87,11.1,6,3.0,0,0,0,0.4063562376156899
39,29,161,1,0,0,0,166.2,125,28.25,279.4,78,23.75,181.0,85,8.15,13.4,6,3.62,1,0,0,0.3061829520304273
40,4,125,2,1,0,0,158.7,112,26.98,155.7,126,13.23,246.0,110,11.07,8.3,1,2.24,2,1,1,0.8905488004123004
41,37,194,1,0,0,0,258.3,76,43.91,306.0,88,26.01,241.8,106,10.88,13.6,4,3.67,1,1,1,0.588193109616072
42,26,69,2,0,1,40,77.0,106,13.09,161.7,94,13.74,188.6,82,8.49,12.5,6,3.38,1,0,0,0.05682765237202103
43,48,141,1,0,1,33,168.4,127,28.63,185.1,106,15.73,220.0,78,9.9,11.0,4,2.97,2,0,0,0.27987947433269306
44,41,98,1,0,0,0,307.2,65,52.22,138.6,97,11.78,381.6,99,17.17,10.2,4,2.75,2,1,1,0.8427291693778433
45,35,110,2,0,0,0,175.6,91,29.85,236.5,127,20.1,194.9,114,8.77,9.5,8,2.57,0,0,0,0.19833760174572462
46,21,70,1,0,0,0,169.1,48,28.75,219.8,62,18.68,193.5,105,8.71,10.7,8,2.89,3,0,1,0.6493291156297405
47,32,72,1,0,0,0,190.7,111,32.42,241.6,103,20.54,278.1,95,12.51,4.4,3,1.19,1,0,0,0.37622938924412075
48,49,66,1,0,0,0,239.6,120,40.73,230.3,110,19.58,153.0,82,6.89,8.6,3,2.32,1,0,1,0.5294719872270803
49,23,79,2,0,0,0,121.3,112,20.62,282.8,107,24.04,123.1,83,5.54,7.4,4,2.0,1,0,0,0.19930831622057515
50,22,61,0,0,0,0,208.4,102,35.43,326.1,96,27.72,201.9,73,9.09,10.1,8,2.73,1,1,0,0.430488010493359
51,5,97,2,1,0,0,230.6,131,39.2,261.3,136,22.21,157.1,96,7.07,6.8,4,1.84,0,0,1,0.8342629486129918
52,11,63,1,0,0,0,112.5,95,19.13,211.2,67,17.95,227.5,96,10.24,11.1,8,3.0,0,0,0,0.09962357494212154
53,46,77,0,0,1,36,172.2,88,29.27,161.6,112,13.74,259.7,115,11.69,11.8,4,3.19,2,0,0,0.2897498710376595
54,43,73,0,0,0,0,195.3,97,33.2,96.8,89,8.23,243.1,84,10.94,16.2,13,4.37,1,0,0,0.3900930500211514
55,46,105,2,0,0,0,167.7,93,28.51,234.1,103,19.9,169.7,121,7.64,6.9,5,1.86,3,0,1,0.6452530273513267
56,37,159,0,0,0,0,180.1,103,30.62,193.4,148,16.44,251.2,109,11.3,13.4,5,3.62,0,0,0,0.20762031839426362
57,32,83,2,0,0,0,129.6,81,22.03,189.7,117,16.12,219.0,118,9.86,9.8,4,2.65,2,0,0,0.3575053226910602
58,41,93,2,0,0,0,215.5,108,36.64,230.9,70,19.63,144.1,134,6.48,13.2,4,3.56,0,0,0,0.2915468809098719
59,20,106,0,0,1,22,218.6,83,37.16,244.4,70,20.77,132.4,99,5.96,9.1,6,2.46,1,0,0,0.2682656837265131
60,44,98,1,0,0,0,211.9,65,36.02,224.6,95,19.09,233.0,81,10.49,9.9,3,2.67,2,0,1,0.6138065171981882
61,31,163,1,0,0,0,82.0,95,13.94,125.2,103,10.64,171.3,107,7.71,8.0,4,2.16,1,0,0,0.1310387751081437
62,19,169,0,0,1,22,149.1,103,25.35,207.2,91,17.61,265.4,92,11.94,11.4,7,3.08,2,0,0,0.23304667482736277
63,33,111,1,0,0,0,304.6,56,51.78,157.6,101,13.4,188.2,116,8.47,12.4,1,3.35,1,1,1,0.7205018097496646
64,42,163,2,0,0,0,277.7,118,47.21,115.3,91,9.8,170.3,90,7.66,10.4,8,2.81,0,0,0,0.47635181640188157
65,21,57,2,0,0,0,155.2,99,26.38,214.1,98,18.2,241.0,64,10.85,7.5,7,2.03,1,0,0,0.2772175876943011
66,1,117,1,0,0,0,198.5,75,33.75,179.8,92,15.28,234.1,119,10.53,10.6,6,2.86,0,0,0,0.24886413339687355
67,18,85,0,0,0,0,209.1,57,35.55,110.7,111,9.41,113.3,113,5.1,12.8,4,3.46,1,0,0,0.4326779482509931
68,1,132,1,0,0,0,200.0,104,34.0,149.6,101,12.72,137.1,110,6.17,18.9,2,5.1,1,0,0,0.4044437249310631
69,9,190,1,0,0,0,196.1,95,33.34,228.3,88,19.41,243.6,95,10.96,7.6,3,2.05,3,0,1,0.7232049342931284
70,9,39,2,0,0,0,121.6,99,20.67,267.6,99,22.75,99.7,88,4.49,7.1,2,1.92,1,0,0,0.19991956002354178
71,40,84,1,0,0,0,204.1,132,34.7,164.4,117,13.97,165.1,123,7.43,0.0,0,0.0,1,0,0,0.4170981886232134
